label,pattern,attr,replace,notes
life_stage,juvenile by plumage,lower,Juvenile,
life_stage,juvenile plumage,lower,Juvenile,
life_stage,juvenile plumage on breast,lower,Juvenile,
life_stage,juvenile skull,lower,Juvenile,
life_stage,juvenile skull and plumage,lower,Juvenile,
life_stage,juvenile; immature,lower,Juvenile,
life_stage,ku ad.,lower,Adult,
life_stage,larva,lower,Juvenile,
life_stage,larvae,lower,Juvenile,
life_stage,larval,lower,Juvenile,
life_stage,larve,lower,Juvenile,
life_stage,late juv.sk.,lower,Juvenile,
life_stage,letely ossified,lower,Adult,
life_stage,mature,lower,Adult,
life_stage,mature sk.,lower,Adult,
life_stage,nat.,lower,Juvenile,
life_stage,natal,lower,Juvenile,
life_stage,neonate,lower,Juvenile,
life_stage,nestl,lower,Juvenile,
life_stage,nestling,lower,Juvenile,
life_stage,nestling (10 days old),lower,Juvenile,
life_stage,nestling 8-9 days old,lower,Juvenile,
life_stage,nestling by plumage,lower,Juvenile,
life_stage,nestling; 8-9 da,lower,Juvenile,
life_stage,nestlings,lower,Juvenile,
life_stage,o.s. imm.,lower,Juvenile,
life_stage,old adult,lower,Adult,
life_stage,ossified skull,lower,Adult,
life_stage,ossified skull with two windows,lower,Adult,
life_stage,over-winter; over-winter,lower,Adult,
life_stage,partly ossified skull,lower,Juvenile,
life_stage,pre-fledgling,lower,Juvenile,
life_stage,reproductive,lower,Adult,
life_stage,s.f.o.,lower,Adult,
life_stage,s.n.c.o.,lower,Juvenile,
life_stage,s.n.o.,lower,Juvenile,
life_stage,s.n.o. imm.,lower,Juvenile,
life_stage,s.n.s.,lower,Juvenile,
life_stage,s.o.,lower,Adult,
life_stage,sd.,lower,Juvenile,
life_stage,sfo,lower,Adult,
life_stage,sk. not os.,lower,Juvenile,
life_stage,sk. not oss.,lower,Juvenile,
life_stage,sk. oss.,lower,Adult,
life_stage,sk. part oss.,lower,Juvenile,
life_stage,sk. part. oss.,lower,Juvenile,
life_stage,sk. partly oss.,lower,Juvenile,
life_stage,sk.1/2 oss.,lower,Juvenile,
life_stage,sk.ad.,lower,Adult,
life_stage,sk.comp.oss.,lower,Adult,
life_stage,sk.fully oss.,lower,Adult,
life_stage,sk.imm.,lower,Juvenile,
life_stage,sk.less than 1/4oss.,lower,Juvenile,
life_stage,sk.n.f.oss.,lower,Juvenile,
life_stage,sk.nearly oss.,lower,Adult,
life_stage,sk.not comp. oss,lower,Juvenile,
life_stage,sk.not comp.oss.,lower,Juvenile,
life_stage,sk.not oss.,lower,Juvenile,
life_stage,sk.os.,lower,Adult,
life_stage,sk.oss.,lower,Adult,
life_stage,sk.part oss.,lower,Juvenile,
life_stage,sk.part unoss.,lower,Juvenile,
life_stage,sk.part.oss.,lower,Juvenile,
life_stage,sk.partly oss.,lower,Juvenile,
life_stage,sk.soft,lower,Juvenile,
life_stage,sk.unoss.,lower,Juvenile,
life_stage,sk.unossif.,lower,Juvenile,
life_stage,skul100% ossi,lower,Adult,
life_stage,skull 1/5 ossified,lower,Juvenile,
life_stage,skull 10% ossified,lower,Adult,
life_stage,skull 100& oss.,lower,Adult,
life_stage,skull 100& ossi,lower,Adult,
life_stage,skull 100% oss,lower,Adult,
life_stage,skull 100% oss.,lower,Adult,
life_stage,skull 100% ossi,lower,Adult,
life_stage,skull 100% ossified,lower,Adult,
life_stage,skull 100% ossified.,lower,Adult,
life_stage,skull 15 % ossified,lower,Juvenile,
life_stage,skull 25% oss,lower,Juvenile,
life_stage,skull 25% ossified,lower,Juvenile,
life_stage,skull 30% ossified,lower,Juvenile,
life_stage,skull 35% ossified,lower,Juvenile,
life_stage,skull 50% oss,lower,Juvenile,
life_stage,skull 70 % ossified,lower,Juvenile,
life_stage,skull 70% ossified,lower,Juvenile,
life_stage,skull 75% oss.,lower,Juvenile,
life_stage,skull 80% oss,lower,Juvenile,
life_stage,skull 90% oss,lower,Adult,
life_stage,skull comletely ossified,lower,Adult,
life_stage,skull completely ossified,lower,Adult,
life_stage,skull fully ossifed,lower,Adult,
life_stage,skull fully ossified,lower,Adult,
life_stage,skull fully ossified juv,lower,Adult,
life_stage,skull half closed,lower,Juvenile,
life_stage,skull mostly ossified,lower,Adult,
life_stage,skull not completely ossified,lower,Juvenile,
life_stage,skull not completely ossified.,lower,Juvenile,
life_stage,skull not completely pneumaticiz,lower,Juvenile,
life_stage,skull not fully ossified,lower,Juvenile,
life_stage,skull not oss,lower,Juvenile,
life_stage,skull not oss.,lower,Juvenile,
life_stage,skull not ossified,lower,Juvenile,
life_stage,skull not pneumatized,lower,Juvenile,
life_stage,skull not pneumatized at all,lower,Juvenile,
life_stage,skull open,lower,Juvenile,
life_stage,skull oss,lower,Adult,
life_stage,skull oss.,lower,Adult,
life_stage,skull ossifed,lower,Adult,
life_stage,skull ossification,lower,Adult,
life_stage,skull ossified,lower,Adult,
life_stage,skull ossified (i think),lower,Adult,
life_stage,skull ossified 100%,lower,Adult,
life_stage,skull ossified;,lower,Adult,
life_stage,skull unossifed,lower,Juvenile,
life_stage,skull unossified,lower,Juvenile,
life_stage,skull unossified-pre-fledge,lower,Juvenile,
life_stage,skull well ossified,lower,Adult,
life_stage,skull: oss.,lower,Adult,
life_stage,snco,lower,Juvenile,
